Symbol,P2018S,P2018E,ROI,P2022
OKTA,25.55,63.80,149.70,224.17
DXCM,57.62,119.80,107.91,536.95
TEAM,45.94,88.98,93.68,381.29
AMD,10.42,18.46,77.15,143.90
FTNT,43.76,70.43,60.94,359.40
LULU,77.31,121.61,57.30,391.45
WDAY,102.05,159.68,56.47,273.18
MTCH,35.19,52.26,48.51,132.25
ORLY,241.34,344.33,42.67,706.23
NFLX,196.10,267.66,36.49,602.44
ILMN,224.78,299.93,33.43,380.44
ISRG,122.63,159.64,30.18,359.30
VRSN,114.69,148.29,29.29,253.82
PANW,146.00,188.35,29.00,556.76
ADBE,175.85,226.24,28.65,567.06
AMZN,1172.00,1501.97,28.15,3334.34
XLNX,64.57,82.57,27.86,212.03
SPLK,83.34,104.85,25.81,115.72
INTU,153.62,192.79,25.49,643.22
ADSK,105.34,128.61,22.09,281.19
MSFT,82.13,98.54,19.97,336.32
IDXX,157.59,186.02,18.04,658.46
EXC,34.55,40.75,17.93,57.76
CSCO,34.29,39.59,15.45,63.37
ADP,106.51,122.90,15.38,246.58
AMGN,157.25,179.61,14.21,224.97
SBUX,53.83,61.21,13.72,116.97
PYPL,74.23,84.09,13.27,188.58
VRSK,94.62,106.94,13.01,228.73
CSX,17.66,19.93,12.85,37.60
FISV,65.98,73.49,11.38,103.79
VRTX,150.00,165.71,10.47,219.60
COST,176.04,193.53,9.93,567.70
CPRT,43.52,47.78,9.78,151.62
SIRI,5.09,5.55,9.10,6.35
CTAS,151.06,163.20,8.03,443.17
TSLA,62.40,66.56,6.66,1056.78
AEP,63.89,67.69,5.95,88.97
SGEN,53.64,56.66,5.63,154.60
XEL,43.02,45.43,5.60,67.70
ROST,78.36,81.49,3.99,114.28
INTC,42.00,43.57,3.71,51.50
CDNS,42.00,43.48,3.52,186.35
AVGO,225.04,227.35,1.02,665.41
TMUS,63.90,63.61,-0.45,115.98
GOOGL,1053.02,1044.96,-0.76,2897.04
GOOG,1048.34,1035.61,-1.21,2893.59
PAYX,60.55,59.66,-1.47,136.50
REGN,379.48,373.50,-1.57,631.52
BKNG,1750.09,1722.42,-1.58,2399.23
ADI,82.56,81.01,-1.87,175.77
SNPS,85.90,84.24,-1.93,368.50
FAST,24.71,24.12,-2.35,64.06
ANSS,148.15,142.94,-3.51,401.12
WBA,63.98,61.08,-4.54,52.16
PEP,106.41,101.28,-4.82,173.71
MDLZ,39.60,37.54,-5.19,66.31
AAPL,40.68,38.28,-5.90,177.57
ALGN,222.61,209.43,-5.92,657.18
BIIB,321.15,300.92,-6.29,239.92
MELI,317.49,292.85,-7.76,1348.40
TXN,95.19,87.78,-7.78,188.47
QCOM,57.21,52.57,-8.10,182.87
HON,138.17,125.00,-9.53,208.51
CTSH,67.73,61.06,-9.83,88.72
ASML,167.55,151.05,-9.84,796.14
GILD,62.04,55.46,-10.60,72.61
KLAC,97.59,84.79,-13.11,430.11
CMCSA,37.59,32.22,-14.27,50.33
CHTR,338.43,284.97,-15.79,651.97
DLTR,107.99,90.32,-16.36,140.52
PCAR,62.16,51.53,-17.09,88.26
MCHP,41.75,34.49,-17.36,87.06
MAR,131.79,106.57,-19.13,165.24
MNST,63.40,49.22,-22.36,96.04
MU,41.43,31.65,-23.61,93.15
MRVL,20.95,15.86,-24.27,87.49
LRCX,173.07,130.14,-24.80,719.15
EA,105.48,78.41,-25.66,131.90
FB,177.68,131.09,-26.22,336.35
ATVI,61.99,45.67,-26.32,66.53
EBAY,36.66,26.95,-26.46,66.50
SWKS,90.01,63.83,-29.09,155.14
NVDA,48.54,33.16,-31.69,294.11
NTES,65.71,44.67,-32.01,101.78
BIDU,236.49,158.60,-32.93,148.79
AMAT,48.93,31.50,-35.62,157.36
NXPI,112.25,70.72,-36.99,227.78
KHC,64.28,36.89,-42.59,35.90
JD,42.14,20.93,-50.33,70.07
KDP,90.74,24.05,-73.49,36.86